date,value,source,quality,notes
2025-01-31,82,sample,illustrative,Custom AI-related bond basket OAS
2025-02-28,88,sample,illustrative,Custom AI-related bond basket OAS
2025-03-31,91,sample,illustrative,Custom AI-related bond basket OAS
2025-04-30,99,sample,illustrative,Custom AI-related bond basket OAS
2025-05-31,106,sample,illustrative,Custom AI-related bond basket OAS
2025-06-30,112,sample,illustrative,Custom AI-related bond basket OAS
2025-07-31,119,sample,illustrative,Custom AI-related bond basket OAS
2025-08-31,116,sample,illustrative,Custom AI-related bond basket OAS
2025-09-30,127,sample,illustrative,Custom AI-related bond basket OAS
2025-10-31,135,sample,illustrative,Custom AI-related bond basket OAS
2025-11-30,142,sample,illustrative,Custom AI-related bond basket OAS
2025-12-31,149,sample,illustrative,Custom AI-related bond basket OAS
2026-01-31,158,sample,illustrative,Custom AI-related bond basket OAS
2026-02-28,166,sample,illustrative,Custom AI-related bond basket OAS
2026-03-31,171,sample,illustrative,Custom AI-related bond basket OAS
2026-04-30,184,sample,illustrative,Custom AI-related bond basket OAS
2026-05-31,194,sample,illustrative,Custom AI-related bond basket OAS
2026-06-30,202,sample,illustrative,Custom AI-related bond basket OAS
2026-07-31,196,sample,illustrative,Custom AI-related bond basket OAS
2026-08-14,198,sample,illustrative,Custom AI-related bond basket OAS
