date,ticker,value,source,quality,notes
2025-01-31,MSFT,52,sample,illustrative,Comparable maturity bond OAS
2025-01-31,AMZN,65,sample,illustrative,Comparable maturity bond OAS
2025-01-31,GOOGL,48,sample,illustrative,Comparable maturity bond OAS
2025-01-31,META,74,sample,illustrative,Comparable maturity bond OAS
2025-01-31,ORCL,112,sample,illustrative,Comparable maturity bond OAS
2025-04-30,MSFT,59,sample,illustrative,Comparable maturity bond OAS
2025-04-30,AMZN,74,sample,illustrative,Comparable maturity bond OAS
2025-04-30,GOOGL,56,sample,illustrative,Comparable maturity bond OAS
2025-04-30,META,86,sample,illustrative,Comparable maturity bond OAS
2025-04-30,ORCL,142,sample,illustrative,Comparable maturity bond OAS
2025-07-31,MSFT,64,sample,illustrative,Comparable maturity bond OAS
2025-07-31,AMZN,81,sample,illustrative,Comparable maturity bond OAS
2025-07-31,GOOGL,61,sample,illustrative,Comparable maturity bond OAS
2025-07-31,META,93,sample,illustrative,Comparable maturity bond OAS
2025-07-31,ORCL,171,sample,illustrative,Comparable maturity bond OAS
2025-10-31,MSFT,69,sample,illustrative,Comparable maturity bond OAS
2025-10-31,AMZN,88,sample,illustrative,Comparable maturity bond OAS
2025-10-31,GOOGL,66,sample,illustrative,Comparable maturity bond OAS
2025-10-31,META,101,sample,illustrative,Comparable maturity bond OAS
2025-10-31,ORCL,199,sample,illustrative,Comparable maturity bond OAS
2026-01-31,MSFT,75,sample,illustrative,Comparable maturity bond OAS
2026-01-31,AMZN,94,sample,illustrative,Comparable maturity bond OAS
2026-01-31,GOOGL,70,sample,illustrative,Comparable maturity bond OAS
2026-01-31,META,111,sample,illustrative,Comparable maturity bond OAS
2026-01-31,ORCL,231,sample,illustrative,Comparable maturity bond OAS
2026-04-30,MSFT,79,sample,illustrative,Comparable maturity bond OAS
2026-04-30,AMZN,102,sample,illustrative,Comparable maturity bond OAS
2026-04-30,GOOGL,74,sample,illustrative,Comparable maturity bond OAS
2026-04-30,META,122,sample,illustrative,Comparable maturity bond OAS
2026-04-30,ORCL,252,sample,illustrative,Comparable maturity bond OAS
2026-07-31,MSFT,82,sample,illustrative,Comparable maturity bond OAS
2026-07-31,AMZN,112,sample,illustrative,Comparable maturity bond OAS
2026-07-31,GOOGL,78,sample,illustrative,Comparable maturity bond OAS
2026-07-31,META,134,sample,illustrative,Comparable maturity bond OAS
2026-07-31,ORCL,265,sample,illustrative,Comparable maturity bond OAS
2026-08-14,MSFT,81,sample,illustrative,Comparable maturity bond OAS
2026-08-14,AMZN,109,sample,illustrative,Comparable maturity bond OAS
2026-08-14,GOOGL,77,sample,illustrative,Comparable maturity bond OAS
2026-08-14,META,130,sample,illustrative,Comparable maturity bond OAS
2026-08-14,ORCL,259,sample,illustrative,Comparable maturity bond OAS
