date,ticker,purchase_commitments_usd_bn,lease_obligations_usd_bn,revenue_usd_bn,source,quality,notes
2025-03-31,MSFT,112,28,263,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-03-31,AMZN,94,88,638,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-03-31,GOOGL,72,18,358,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-03-31,META,38,22,171,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-03-31,ORCL,66,14,57,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-06-30,MSFT,126,29,276,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-06-30,AMZN,105,91,658,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-06-30,GOOGL,80,19,374,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-06-30,META,43,24,181,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-06-30,ORCL,76,16,60,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-09-30,MSFT,139,31,289,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-09-30,AMZN,116,94,681,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-09-30,GOOGL,91,20,391,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-09-30,META,48,26,193,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-09-30,ORCL,88,17,63,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-12-31,MSFT,154,34,304,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-12-31,AMZN,130,98,708,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-12-31,GOOGL,105,22,411,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-12-31,META,55,28,207,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2025-12-31,ORCL,104,19,67,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-03-31,MSFT,170,36,320,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-03-31,AMZN,146,102,736,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-03-31,GOOGL,121,24,432,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-03-31,META,63,30,221,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-03-31,ORCL,124,21,71,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-06-30,MSFT,188,39,337,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-06-30,AMZN,162,107,766,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-06-30,GOOGL,138,27,455,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-06-30,META,72,33,236,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
2026-06-30,ORCL,148,24,76,sample,illustrative,Replace with 10-Q/10-K commitment footnotes
