date,value,source,quality,notes
2025-01-31,72,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-02-28,78,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-03-31,86,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-04-30,94,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-05-31,103,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-06-30,118,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-07-31,131,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-08-31,126,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-09-30,142,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-10-31,158,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-11-30,171,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2025-12-31,184,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-01-31,193,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-02-28,207,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-03-31,214,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-04-30,226,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-05-31,236,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-06-30,244,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-07-31,219,sample,illustrative,Replace with licensed 5Y CDS or broker quote
2026-08-14,228,sample,illustrative,Replace with licensed 5Y CDS or broker quote
