date,private_credit_proxy,neocloud_financing_spread,source,quality,notes
2025-01-31,22,390,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-02-28,25,410,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-03-31,27,430,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-04-30,31,460,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-05-31,33,480,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-06-30,36,500,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-07-31,39,530,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-08-31,37,510,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-09-30,42,560,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-10-31,47,610,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-11-30,51,650,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2025-12-31,55,690,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-01-31,58,720,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-02-28,62,760,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-03-31,66,800,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-04-30,70,850,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-05-31,74,900,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-06-30,78,940,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-07-31,72,880,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
2026-08-14,73,890,sample,illustrative,Replace with BDC NAV discount/PIK/non-accrual and private credit terms
